"Código da obra";"Título Original";"Título no Brasil";"Ano de produção";"Diretor";"Data de liberação para exibição"
19001313;"TOLKIEN";"TOLKIEN";2019;"DOME KARUKOSKI";"2019-04-02"
18005172;"MEU NOME É DANIEL";"MEU NOME É DANIEL";2018;"DANIEL DE CASTRO GONCALVES";"2019-04-01"
19000728;"TEATROS NO BRASIL  CLAUDIO SANTORO - MEMÓRIAS DO MAESTRO E DO TEATRO EM VIDA";"TEATROS NO BRASIL  CLAUDIO SANTORO - MEMÓRIAS DO MAESTRO E DO TEATRO EM VIDA";2019;"EMILIO HUCS GALLO";"2019-04-01"
19000740;"TEATROS NO BRASIL  TEATROS AMAZONAS - O FILHO OURO DA FLORESTA";"TEATROS NO BRASIL  TEATROS AMAZONAS - O FILHO OURO DA FLORESTA";2019;"EMILIO HUCS GALLO";"2019-04-01"
19000741;"TEATROS NO BRASIL CASTRO ALVES - O TEATRO E O HOMEM";"TEATROS NO BRASIL CASTRO ALVES - O TEATRO E O HOMEM";2019;"EMILIO HUCS GALLO";"2019-04-01"
19001219;"TEATROS NO BRASIL SUDESTE MUNICIPAL - ENREDOS DA JÓIA CARIOCA";"TEATROS NO BRASIL SUDESTE MUNICIPAL - ENREDOS DA JÓIA CARIOCA";2019;"EMILIO HUCS GALLO";"2019-04-01"
19001470;"TEATROS NO BRASIL THEATRO SÃO PEDRO - SÍMBOLO DE ARTE E RESISTÊNCIA";"TEATROS NO BRASIL THEATRO SÃO PEDRO - SÍMBOLO DE ARTE E RESISTÊNCIA";2019;"EMILIO HUCS GALLO";"2019-04-01"
19001485;"CHILD´S PLAY";"BRINQUEDO ASSASSINO";2019;"LARS KLEVBERG";"2019-04-01"
19001486;"I BELIEVE";"EU ACREDITO";2017;"JUERGEN PERETZKI";"2019-04-01"
19001487;"THE QUEEN´S CORGI";"THE QUEEN'S CORGI";2019;"BEN STASSEN";"2019-04-01"
18003811;"DELICADEZA É AZUL";"DELICADEZA É AZUL";2017;"SANDRO LUIZ BARBOSA ARIETA";"2019-03-29"
19001024;"IRMÃO DO JOREL: EDIÇÃO ESPECIAL ALUCINANTE";"IRMÃO DO JOREL: EDIÇÃO ESPECIAL ALUCINANTE";2019;"JULIANO ENRICO MARQUES TEIXEIRA";"2019-03-29"
19001228;"GRÂCE A DIEU";"GRAÇAS A DEUS";2018;"FRANÇOIS OZON";"2019-03-29"
19001370;"THE GOLEM";"A LENDA DE GOLEM";2018;"DORON PAZ";"2019-03-29"
19001394;"A HISTÓRIA DE UM SONHO";"A HISTÓRIA DE UM SONHO";2019;"MARCELA COELHO NASCIMENTO";"2019-03-29"
19001472;"SANTOS DE TODOS OS GOLS";"SANTOS DE TODOS OS GOLS";2018;"LINA CHAMIE";"2019-03-29"
